Artist ID,Artists,Streams
338,"DJ Snake, Selena Gomez, Ozuna, Cardi B",24641771
339,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",12784863
340,"Silk City, Dua Lipa, Diplo, Mark Ronson",4952780
341,"Imagine Dragons, JID, Arcane, League of Legends",8485697
342,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",18527417
343,"Internet Money, Gunna, Don Toliver, NAV",8582130
344,"Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900",7427924
345,"Young Stoner Life, Young Thug, Gunna, Drake",6815111
346,"J Balvin, Dua Lipa, Bad Bunny, Tainy",5626791
347,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",5187720
348,"Imagine Dragons, JID, Arcane, League of Legends",11796456
349,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",9661420
350,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",6348390
351,"IAmChino, Pitbull, Yandel, El Chacal",5217827
352,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",6962710
353,"DJ Snake, Selena Gomez, Ozuna, Cardi B",5872169
354,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",4685917
355,"Mesita, Nicki Nicole, Tiago PZK, Emilia",13232332
356,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9747190
357,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",10307415
358,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",9136965
359,"DJ Snake, Selena Gomez, Ozuna, Cardi B",7452064
360,"Jax Jones, Martin Solveig, Madison Beer, Europa",6444932
361,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",5119739
362,"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",7210063
363,"Noriel, Myke Towers, Rauw Alejandro, Almighty",4508773
364,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",8674419
365,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",8492649
366,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie",7760702
367,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",17372035
368,"Internet Money, Gunna, Don Toliver, NAV",10984231
369,"J Balvin, Dua Lipa, Bad Bunny, Tainy",6707169
370,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",5272789
371,"Imagine Dragons, JID, Arcane, League of Legends",26549378
372,"Xamã, Gustah, Neo Beats, Bagua Records",10219569
373,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",7813735
